Geographic Area Name,novehicle,onevehicle,twovehicle,threevehicle,Median income (dollars),Average vehicle,percent_households_with_car
Census Tract 6202,98,347,168,111,73542,1.403314917,86
Census Tract 8016.07,98,605,1013,356,141932,1.78523166,95
Census Tract 8192,98,707,646,496,84435,1.790960452,95
Census Tract 8277,98,519,214,157,63625,1.435222672,90
Census Tract 4905,99,389,162,63,66728,1.265077139,86
Census Tract 8113.02,99,725,268,274,44908,1.52489019,93
Census Tract 8285.04,99,909,448,299,45986,1.53960114,94
Census Tract 8433,99,147,100,4,60417,1.025714286,72
Census Tract 6401,100,186,108,64,54792,1.296943231,78
Census Tract 7702.02,100,909,687,232,90547,1.545124481,95
Census Tract 8030.08,100,309,955,302,143884,1.8757503,94
Census Tract 8138.01,100,413,256,152,40638,1.499457112,89
Census Tract 717,101,396,126,33,238036,1.138719512,85
Census Tract 819,101,363,87,0,166000,0.974591652,82
Census Tract 1710,101,934,1360,330,105170,1.704220183,96
Census Tract 5608,101,726,773,355,96029,1.706905371,95
Census Tract 7704,101,391,698,410,99194,1.885625,94
Census Tract 8027.02,101,521,757,294,127708,1.743574417,94
Census Tract 8030.07,101,811,1028,216,106186,1.630333952,95
Census Tract 8055.01,101,501,663,228,148056,1.681848627,93
Census Tract 8137.02,101,419,431,271,69920,1.713584288,92
Census Tract 8245.05,101,775,922,537,64267,1.811563169,96
Census Tract 8400,101,409,403,51,107578,1.419087137,90
Census Tract 5204,102,612,451,193,44402,1.541237113,92
Census Tract 8263.03,102,475,385,229,54137,1.622166247,91
Census Tract 8315,102,540,530,151,59192,1.551776266,92
Census Tract 8352,102,242,164,125,98362,1.492890995,84
Census Tract 8043.06,103,338,571,1232,97850,2.306595365,95
Census Tract 8080.01,103,441,579,203,106250,1.665158371,92
Census Tract 8190,103,345,709,294,172378,1.822880772,93
Census Tract 8241.22,103,641,944,670,112150,1.924936387,96
Census Tract 2301,104,294,194,52,66538,1.301242236,84
Census Tract 4407,104,354,124,31,80208,1.133768352,83
Census Tract 8228.02,105,347,672,169,101607,1.69992266,92
Census Tract 8231.02,105,521,428,351,77782,1.729537367,93
Census Tract 8237.03,105,1010,1100,686,61972,1.815925543,96
Census Tract 8382,105,141,116,34,178250,1.199494949,73
Census Tract 7306,106,568,346,109,52204,1.405668733,91
Census Tract 8051.10,107,886,697,275,98750,1.580152672,95
Census Tract 8402,107,324,275,63,63854,1.382314694,86
Census Tract 508,108,248,144,31,210469,1.184557439,80
Census Tract 509,108,209,224,64,165104,1.403305785,82
Census Tract 2209.02,108,434,324,105,63365,1.438722966,89
Census Tract 2506,108,379,545,235,63723,1.715864246,91
Census Tract 2828,108,262,177,28,74750,1.217391304,81
Census Tract 3819,108,279,77,71,52700,1.207476636,80
Census Tract 6104,108,242,158,23,43656,1.18079096,80
Census Tract 8132,108,635,699,97,164196,1.510071475,93
Census Tract 8146,108,566,470,508,66116,1.834140436,93
Census Tract 8171.02,108,337,370,213,73895,1.6692607,89
Census Tract 8183,108,550,643,525,76071,1.868017525,94
Census Tract 8241.23,108,822,1371,461,95288,1.791093411,96
Census Tract 7111,109,351,288,105,62583,1.456037515,87
Census Tract 8052.02,109,718,595,277,118229,1.612124779,94
Census Tract 8113.01,109,405,601,302,76298,1.773465067,92
Census Tract 8184.01,109,421,468,346,79943,1.781994048,92
Census Tract 1510.01,110,347,302,129,90972,1.506756757,88
Census Tract 7003.02,110,594,709,328,89970,1.720850086,94
Census Tract 8142,110,569,995,361,55341,1.78968059,95
Census Tract 8225,110,491,809,222,75980,1.700367647,93
Census Tract 623,111,320,146,72,"250,000+",1.275808937,83
Census Tract 8036.05,111,793,1193,454,108243,1.780086241,96
