NAME,novehicle,onevehicle,twovehicle,threevehicle,medianincome
"Census Tract 8422, Cook County, Illinois",604,1297,173,35,143580
"Census Tract 8423, Cook County, Illinois",181,825,408,73,180302
"Census Tract 8424, Cook County, Illinois",469,688,209,38,52760
"Census Tract 8425, Cook County, Illinois",591,254,21,0,20041
"Census Tract 8426, Cook County, Illinois",230,649,484,135,79444
"Census Tract 8428, Cook County, Illinois",245,801,785,156,33828
"Census Tract 8429, Cook County, Illinois",726,433,157,0,26600
"Census Tract 8430, Cook County, Illinois",474,327,113,40,30167
"Census Tract 8431, Cook County, Illinois",172,204,30,45,41053
"Census Tract 8432, Cook County, Illinois",229,466,194,48,48333
"Census Tract 8433, Cook County, Illinois",99,147,100,4,60417
"Census Tract 8434, Cook County, Illinois",371,249,95,0,34439
"Census Tract 8435, Cook County, Illinois",21,120,75,13,27216
"Census Tract 8436, Cook County, Illinois",402,649,351,71,72391
"Census Tract 8437, Cook County, Illinois",174,451,318,46,202250
"Census Tract 8438, Cook County, Illinois",233,251,143,30,49750
"Census Tract 8439, Cook County, Illinois",415,1386,157,71,82679
"Census Tract 8446, Cook County, Illinois",148,388,64,50,-
"Census Tract 8447, Cook County, Illinois",247,247,137,11,56932
"Census Tract 901, Cook County, Illinois",149,409,552,251,150368
"Census Tract 902, Cook County, Illinois",175,912,1135,374,157466
"Census Tract 903, Cook County, Illinois",14,200,171,119,114375
"Census Tract 9800, Cook County, Illinois",0,0,0,0,-
"Census Tract 9801, Cook County, Illinois",0,0,0,0,-
"Census Tract 9900, Cook County, Illinois",0,0,0,0,-
