NAME,novehicle,onevehicle,twovehicle,threevehicle,medianincome
"Census Tract 3016, Cook County, Illinois",365,760,149,112,26698
"Census Tract 3017.01, Cook County, Illinois",341,393,309,247,46601
"Census Tract 3017.02, Cook County, Illinois",197,724,214,83,42552
"Census Tract 3018.01, Cook County, Illinois",252,379,422,134,41993
"Census Tract 3018.02, Cook County, Illinois",123,368,155,144,41724
"Census Tract 3018.03, Cook County, Illinois",217,550,246,144,47879
"Census Tract 302, Cook County, Illinois",543,1223,608,123,96250
"Census Tract 303, Cook County, Illinois",533,590,280,94,65833
"Census Tract 304, Cook County, Illinois",271,566,316,66,75278
"Census Tract 305, Cook County, Illinois",798,1297,521,317,120096
"Census Tract 306.01, Cook County, Illinois",836,837,173,0,46875
"Census Tract 306.03, Cook County, Illinois",850,554,28,11,40563
"Census Tract 306.04, Cook County, Illinois",856,1054,124,24,84583
"Census Tract 307.01, Cook County, Illinois",438,338,54,5,67000
"Census Tract 307.02, Cook County, Illinois",473,913,85,7,105420
"Census Tract 307.03, Cook County, Illinois",1114,608,139,30,-
"Census Tract 307.06, Cook County, Illinois",954,732,196,0,70455
"Census Tract 308, Cook County, Illinois",583,1059,356,99,141442
"Census Tract 309, Cook County, Illinois",290,782,332,64,145221
"Census Tract 310, Cook County, Illinois",457,1214,378,7,117333
"Census Tract 3102, Cook County, Illinois",176,241,277,15,96625
"Census Tract 3103, Cook County, Illinois",198,327,127,72,54821
"Census Tract 3104, Cook County, Illinois",83,430,20,24,125750
"Census Tract 3105, Cook County, Illinois",163,202,138,19,57895
"Census Tract 3106, Cook County, Illinois",637,948,488,43,91391
"Census Tract 3107, Cook County, Illinois",263,176,69,44,39722
"Census Tract 3108, Cook County, Illinois",443,619,223,248,65811
"Census Tract 3109, Cook County, Illinois",383,840,309,114,41847
"Census Tract 311, Cook County, Illinois",999,989,385,51,109405
"Census Tract 312, Cook County, Illinois",1722,1250,171,16,38837
"Census Tract 313, Cook County, Illinois",1643,2239,537,15,83401
"Census Tract 314, Cook County, Illinois",1269,1411,342,20,110833
"Census Tract 315.01, Cook County, Illinois",636,1097,87,39,44263
"Census Tract 315.02, Cook County, Illinois",1416,737,206,0,37957
"Census Tract 317, Cook County, Illinois",1301,1576,358,198,142851
"Census Tract 318, Cook County, Illinois",255,549,159,9,130750
"Census Tract 319, Cook County, Illinois",498,607,192,18,148125
"Census Tract 3201.01, Cook County, Illinois",1854,2652,617,0,183768
"Census Tract 3201.02, Cook County, Illinois",1545,430,268,0,231152
"Census Tract 3204, Cook County, Illinois",285,344,83,0,"250,000+"
"Census Tract 3206, Cook County, Illinois",1324,1491,236,0,181908
"Census Tract 321, Cook County, Illinois",1891,1716,388,0,101711
"Census Tract 3301.01, Cook County, Illinois",28,1922,1049,0,204616
"Census Tract 3301.02, Cook County, Illinois",1470,3386,614,0,181680
"Census Tract 3301.03, Cook County, Illinois",1045,3074,501,49,131730
"Census Tract 3302, Cook County, Illinois",522,902,364,27,182083
"Census Tract 3403, Cook County, Illinois",188,290,213,33,42955
"Census Tract 3404, Cook County, Illinois",199,273,108,17,68875
"Census Tract 3405, Cook County, Illinois",371,425,87,20,24750
"Census Tract 3406, Cook County, Illinois",268,132,13,12,17326
"Census Tract 3501, Cook County, Illinois",611,828,95,0,57275
"Census Tract 3504, Cook County, Illinois",443,203,12,10,23583
"Census Tract 3510, Cook County, Illinois",793,1192,312,0,57975
"Census Tract 3511, Cook County, Illinois",535,408,71,0,14303
"Census Tract 3514, Cook County, Illinois",631,191,72,0,18750
"Census Tract 3515, Cook County, Illinois",120,240,28,4,-
"Census Tract 3602, Cook County, Illinois",221,335,38,32,38929
"Census Tract 3801, Cook County, Illinois",495,516,109,11,120188
"Census Tract 3802, Cook County, Illinois",685,447,60,5,57962
"Census Tract 3806, Cook County, Illinois",851,718,332,21,50167
"Census Tract 3812, Cook County, Illinois",325,350,157,108,85727
"Census Tract 3814, Cook County, Illinois",234,277,127,60,26993
"Census Tract 3815, Cook County, Illinois",96,152,19,4,20982
"Census Tract 3817, Cook County, Illinois",0,0,0,0,-
"Census Tract 3818, Cook County, Illinois",197,341,57,56,80288
"Census Tract 3819, Cook County, Illinois",108,279,77,71,52700
"Census Tract 3901, Cook County, Illinois",284,200,214,55,129375
"Census Tract 3902, Cook County, Illinois",53,531,293,27,105086
"Census Tract 3903, Cook County, Illinois",733,680,92,139,42740
"Census Tract 3904, Cook County, Illinois",660,516,140,87,-
"Census Tract 3905, Cook County, Illinois",253,397,134,54,69779
"Census Tract 3906, Cook County, Illinois",184,485,150,19,163571
"Census Tract 3907, Cook County, Illinois",968,2232,241,13,114944
"Census Tract 4003, Cook County, Illinois",276,305,49,0,35625
"Census Tract 4004, Cook County, Illinois",343,401,51,68,36090
"Census Tract 4005, Cook County, Illinois",514,414,67,16,28705
"Census Tract 4008, Cook County, Illinois",583,327,85,0,20197
