NAMELSAD10,Median income (dollars),Average vehicle,number of bus stops,area(m2),density(/hectare),Nearest distance (km),percent_households_with_car
Census Tract 303,47879,1.273984443,6,314151.1143,0.190990887,186.1583051,64
Census Tract 304,47879,1.273984443,10,346489.1385,0.288609335,228.1620746,78
Census Tract 305,47879,1.273984443,17,618133.296,0.275021587,62.98531119,73
Census Tract 306.01,47879,1.273984443,5,252836.104,0.197756567,122.3044784,55
Census Tract 306.03,47879,1.273984443,3,115999.7666,0.25862121,134.9113813,41
Census Tract 306.04,47879,1.273984443,3,283748.9268,0.105727272,209.2092556,58
Census Tract 307.01,47879,1.273984443,1,69877.36052,0.143107867,108.5921809,48
Census Tract 307.02,47879,1.273984443,1,8298.575409,1.205026105,67.154454,68
Census Tract 307.03,47879,1.273984443,9,198287.9499,0.453885373,120.0387147,41
Census Tract 307.06,47879,1.273984443,10,581936.2353,0.171840133,283.3050921,49
Census Tract 308,47879,1.273984443,9,567411.7558,0.158614972,406.2155881,72
Census Tract 309,47879,1.273984443,18,408717.7112,0.440401762,133.2754473,80
Census Tract 310,47879,1.273984443,9,424893.1373,0.211817966,261.9026485,78
Census Tract 3102,96625,1.184767278,5,320481.7694,0.156015115,218.9954542,75
Census Tract 3103,54821,1.100828729,10,318219.6041,0.314248396,210.1715951,73
Census Tract 3104,125750,0.973070018,2,124462.6832,0.160690735,180.2000138,85
Census Tract 3105,57895,1.024904215,4,163307.2166,0.244937124,311.3605112,69
Census Tract 3106,91391,0.970226843,17,543017.569,0.313065377,175.1749016,70
Census Tract 3107,39722,0.807971014,6,160036.1521,0.374915288,124.4054436,52
Census Tract 3108,65811,1.180039139,8,332782.2794,0.240397416,197.1758571,71
Census Tract 3109,41847,1.093560146,20,484909.7576,0.412447877,99.66154019,77
Census Tract 311,41847,1.093560146,12,549967.3853,0.218194757,399.2489579,59
Census Tract 312,41847,1.093560146,11,326472.6382,0.336934821,199.2481554,45
Census Tract 313,41847,1.093560146,21,1098960.036,0.191089751,325.5849937,63
Census Tract 314,41847,1.093560146,33,2529485.36,0.13046132,279.4639288,58
Census Tract 315.01,41847,1.093560146,4,160448.0373,0.249301897,210.786723,66
Census Tract 315.02,41847,1.093560146,10,161701.9402,0.618421769,196.2210949,40
Census Tract 317,41847,1.093560146,12,477476.4724,0.251321284,46.87024366,62
Census Tract 318,41847,1.093560146,6,235147.9015,0.25515856,200.8498932,74
Census Tract 319,41847,1.093560146,7,257668.8903,0.271666478,197.1746167,62
Census Tract 3201,41847,1.093560146,37,910353.7997,0.406435388,41.39132436,
Census Tract 3204,250000,0.716292135,20,1459273.621,0.137054489,584.3900127,60
Census Tract 3206,181908,0.643395608,20,1158440.507,0.172645897,349.4632497,57
Census Tract 321,181908,0.643395608,22,431026.9657,0.510408901,23.6993493,53
Census Tract 3301,181908,0.643395608,40,3622939.471,0.110407586,600.9923793,
Census Tract 3302,182083,0.942699725,18,790503.6923,0.227702921,58.07244004,71
Census Tract 3403,42955,1.125690608,1,213698.2301,0.046794959,371.3547076,74
Census Tract 3404,68875,0.904522613,8,290254.6811,0.275620017,64.40552494,67
Census Tract 3405,24750,0.72978959,9,435448.1528,0.206683619,109.3464407,59
Census Tract 3406,17326,0.456470588,9,472400.3224,0.190516381,89.48417048,37
Census Tract 3501,57275,0.663624511,5,1086576.656,0.046016082,307.1274211,60
Census Tract 3504,23583,0.384730539,5,201453.5144,0.248196216,122.2005732,34
Census Tract 3510,57975,0.79059643,15,1485944.454,0.1009459,493.7458203,65
Census Tract 3511,14303,0.542406312,5,346345.6576,0.144364449,229.4211133,47
Census Tract 3514,18750,0.374720358,8,323710.5619,0.247134352,189.9978259,29
Census Tract 3602,38929,0.809904153,7,231661.6457,0.302164822,131.5391505,65
Census Tract 3801,120188,0.67816092,9,437442.3352,0.205741404,273.8237488,56
Census Tract 3802,57962,0.486215539,4,215128.3946,0.185935474,148.1659681,43
Census Tract 3805,57962,0.486215539,7,191450.1972,0.365630336,108.6987899,
Census Tract 3807,50167,0.75182102,4,244481.5885,0.163611502,199.7477895,
Census Tract 3812,85727,1.05106383,8,258551.1781,0.309416498,93.91745658,65
Census Tract 3814,26993,1.018624642,8,316691.6356,0.252611661,179.8215088,66
Census Tract 3815,20982,0.745387454,3,108676.117,0.276049613,95.45780075,65
Census Tract 3818,80288,0.956989247,9,319366.3656,0.28180801,195.022952,70
Census Tract 3819,52700,1.207476636,4,172692.0347,0.231626201,225.4155191,80
Census Tract 3901,129375,1.05312085,3,842814.0185,0.035595042,505.5941501,62
Census Tract 3902,105086,1.325221239,4,303793.7209,0.131668291,373.2340115,94
Census Tract 3903,42740,0.77919708,10,327048.6987,0.305764861,196.1221406,55
Census Tract 3905,69779,0.986873508,4,326518.0419,0.122504716,395.9149866,70
Census Tract 3906,163571,1.00477327,5,324629.9068,0.154021546,401.2690531,78
Census Tract 3907,114944,0.797046902,16,1430335.095,0.111861899,438.6219729,72
Census Tract 4003,35625,0.63968254,29,1464440.372,0.198027865,58.45391721,56
Census Tract 4004,36090,0.819235226,7,326943.174,0.214104485,197.0173006,60
Census Tract 4005,28705,0.589515331,6,326147.9587,0.183965585,193.2433524,49
Census Tract 4008,20197,0.499497487,18,493309.0253,0.364882844,114.2376913,41
Census Tract 401,20197,0.499497487,18,2001672.998,0.089924778,809.6863165,84
Census Tract 402.01,20197,0.499497487,25,721411.1269,0.346543033,229.6030867,82
Census Tract 402.02,20197,0.499497487,18,588656.0119,0.305781299,117.7469614,71
Census Tract 403,20197,0.499497487,9,767449.0924,0.117271622,109.830101,95
Census Tract 404.01,20197,0.499497487,7,385796.6392,0.181442742,253.3452046,88
Census Tract 404.02,20197,0.499497487,15,602582.7192,0.248928479,42.66753548,79
Census Tract 406,20197,0.499497487,11,331256.9613,0.332068493,197.1471379,76
Census Tract 407,20197,0.499497487,8,358078.6311,0.223414616,194.1613466,69
Census Tract 408,20197,0.499497487,4,230028.002,0.173891873,216.5271479,81
Census Tract 409,20197,0.499497487,10,321853.9248,0.310699955,197.3379195,60
Census Tract 4101,102260,0.596108949,9,484792.5037,0.185646435,407.0695496,52
Census Tract 4102,79792,0.724324324,4,65109.6988,0.614347797,90.10621601,57
Census Tract 4105,114063,0.918128655,7,262842.5108,0.266319173,220.9637503,65
Census Tract 4106,124583,0.666666667,3,252560.0033,0.118783654,252.1840069,52
Census Tract 4107,86771,0.701477833,4,260189.4344,0.153734144,252.6763602,60
Census Tract 4108,79431,0.526407429,6,249756.6374,0.240233856,189.4320964,47
Census Tract 4109,133370,0.837931034,11,965436.8804,0.113938055,395.1595598,70
Census Tract 4110,94044,0.52175884,13,1896925.025,0.068531965,563.5004878,49
Census Tract 4111,159063,0.809142857,5,282973.8463,0.176694775,257.73353,69
Census Tract 4112,250000,0.918678526,10,402445.2903,0.24848098,222.9158689,70
Census Tract 4201,28125,0.611580217,9,1379811.904,0.065226282,507.3044871,44
