id,name,novehicle,onevehicle,twovehicle,threevehicle,medianincome,houseunits,average_vehicles
"145",Census Tract 901,"149","409","552","251","150368","1361","1.6649522409992652"
"146",Census Tract 902,"175","912","1135","374","157466","2596","1.657935285053929"
"147",Census Tract 903,"14","200","171","119","114375","504","1.7837301587301586"
"148",Census Tract 1001,"64","662","1097","271","90788","2094","1.7521489971346704"
"149",Census Tract 1002,"415","910","1018","403","129875","2746","1.5131099781500363"
"150",Census Tract 1003,"656","791","863","408","111659","2718","1.3763796909492274"
"151",Census Tract 1004,"87","274","736","159","131786","1256","1.769904458598726"
"152",Census Tract 1005,"205","938","883","279","120493","2305","1.5362255965292841"
"153",Census Tract 1006,"113","852","623","251","84464","1839","1.5502990755845567"
"154",Census Tract 1007,"84","422","765","540","113542","1811","1.9723909442297074"
"155",Census Tract 1101,"98","725","982","357","103322","2162","1.7391304347826086"
"156",Census Tract 1102,"359","534","255","163","95294","1311","1.1693363844393594"
"157",Census Tract 1103,"58","765","775","250","96425","1848","1.6585497835497836"
"158",Census Tract 1104,"212","696","720","169","74160","1797","1.4707846410684473"
"160",Census Tract 1105.02,"332","614","537","86","100607","1569","1.2402804333970683"
"161",Census Tract 1201,"32","423","724","334","158194","1513","1.898876404494382"
"162",Census Tract 1202,"76","626","810","282","150563","1794","1.7235228539576366"
"163",Census Tract 1203,"80","848","1137","447","166099","2512","1.776671974522293"
"164",Census Tract 1204,"130","414","501","218","116433","1263","1.6389548693586697"
"165",Census Tract 1301,"432","664","494","207","87315","1797","1.26488592097941"
"166",Census Tract 1302,"10","459","172","85","84438","726","1.4573002754820936"
"167",Census Tract 1303,"272","644","690","209","69107","1815","1.4606060606060607"
"168",Census Tract 1401,"267","616","235","42","52434","1160","1.0448275862068965"
"169",Census Tract 1402,"462","937","384","123","59967","1906","1.0881427072402938"
"170",Census Tract 1403.01,"253","417","150","43","61830","863","0.9803012746234068"
"171",Census Tract 1403.02,"119","618","491","72","100560","1300","1.396923076923077"
"172",Census Tract 1404,"225","914","666","254","101735","2059","1.4609033511413307"
"173",Census Tract 1405,"117","614","421","147","75682","1299","1.460354118552733"
"174",Census Tract 1406.01,"162","298","226","153","80194","839","1.441001191895113"
"175",Census Tract 1406.02,"411","634","511","117","46250","1673","1.1996413628212792"
"176",Census Tract 1407.01,"211","610","204","27","72986","1052","1.0446768060836502"
"177",Census Tract 1407.02,"545","1008","415","143","56458","2111","1.0738986262434864"
"178",Census Tract 1408,"633","1315","444","128","108009","2520","1.0265873015873015"
"179",Census Tract 1502,"548","1185","866","305","93324","2904","1.3195592286501376"
"180",Census Tract 1503,"314","1235","1128","331","90603","3008","1.490691489361702"
"181",Census Tract 1504.01,"123","806","554","190","83974","1673","1.4847579199043635"
"182",Census Tract 1504.02,"80","572","421","147","101458","1220","1.5204918032786885"
"183",Census Tract 1505.01,"52","577","615","234","104219","1478","1.6975642760487144"
"184",Census Tract 1505.02,"251","499","605","165","95625","1520","1.45"
"185",Census Tract 1506,"91","539","572","233","83545","1435","1.6599303135888501"
"186",Census Tract 1507,"71","701","434","134","85433","1340","1.4708955223880598"
"187",Census Tract 1508,"35","681","486","435","78125","1637","1.8069639584605988"
"188",Census Tract 1510.01,"110","347","302","129","90972","888","1.5067567567567568"
"189",Census Tract 1510.02,"192","557","522","256","74643","1527","1.5514079895219384"
"190",Census Tract 1511,"202","763","608","208","68611","1781","1.4615384615384615"
"191",Census Tract 1512,"164","571","340","197","81969","1272","1.4481132075471699"
"192",Census Tract 1601,"112","432","373","60","86316","977","1.389969293756397"
"193",Census Tract 1602,"121","401","491","194","166012","1207","1.628003314001657"
"194",Census Tract 1603,"494","777","428","90","89583","1789","1.0637227501397428"
"195",Census Tract 1604,"301","877","578","175","85476","1931","1.324702226825479"
"196",Census Tract 1605.01,"157","447","421","202","63571","1227","1.5444172779136105"
"197",Census Tract 1605.02,"224","617","540","88","82740","1469","1.334921715452689"
"198",Census Tract 1606.01,"237","749","296","93","102188","1375","1.1781818181818182"
"199",Census Tract 1606.02,"186","674","554","79","69559","1493","1.3523107836570663"
"200",Census Tract 1607,"196","1395","759","144","86020","2494","1.3412189254210105"
"201",Census Tract 1608,"173","866","645","179","64464","1863","1.4455179817498658"
"202",Census Tract 1609,"114","507","378","94","117647","1093","1.413540713632205"
"203",Census Tract 1610,"83","457","223","39","131875","802","1.2718204488778055"
"204",Census Tract 1611,"43","240","352","114","139659","749","1.7169559412550066"
"205",Census Tract 1612,"119","470","326","128","59926","1043","1.4439117929050815"
"206",Census Tract 1613,"301","508","493","102","63250","1404","1.2820512820512822"
"207",Census Tract 1701,"197","695","145","106","68068","1143","1.1399825021872265"
"114",Census Tract 704,"501","652","343","47","250000","1543","0.9585223590408296"
"208",Census Tract 1702,"48","414","475","250","85150","1187","1.7809604043807918"
"209",Census Tract 1703,"68","554","828","349","92969","1799","1.810450250138966"
"210",Census Tract 1704,"51","761","596","209","89674","1617","1.5955473098330242"
"211",Census Tract 1705,"135","855","537","452","106982","1979","1.6599292572006064"
"212",Census Tract 1706,"54","318","407","178","85721","957","1.7408568443051202"
"213",Census Tract 1707,"94","241","492","279","79263","1106","1.864376130198915"
"214",Census Tract 1708,"126","544","613","188","71652","1471","1.5866757307953774"
"215",Census Tract 1709,"26","227","296","88","76815","637","1.7001569858712715"
"216",Census Tract 1710,"101","934","1360","330","105170","2725","1.7042201834862385"
"217",Census Tract 1711,"56","501","394","314","94325","1265","1.7636363636363637"
"218",Census Tract 1801,"263","856","667","399","76797","2185","1.5501144164759726"
"219",Census Tract 1901,"230","313","161","108","79041","812","1.1810344827586208"
"220",Census Tract 1902,"174","525","468","440","70438","1607","1.730553827006845"
"221",Census Tract 1903,"315","590","453","492","86860","1850","1.6064864864864865"
